com.samsung.shealth.tracker.pedometer_day_summary,6307003,7
create_sh_ver,step_count,binning_data,active_time,recommendation,modify_sh_ver,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
,5023,20659405-1c52-40ae-b640-b2288048c7cd.binning_data.json,3141179,6000,,4,2019-11-16 18:30:01.259,com.sec.android.app.shealth,2019-11-16 18:30:01.259,,1.7775631,3804.4897,202.57997,5019,NCYwqyvfDX,com.sec.android.app.shealth,0,20659405-1c52-40ae-b640-b2288048c7cd.achievement.json,20659405-1c52-40ae-b640-b2288048c7cd,1573862400000,
,2138,5b1d9cb0-0afc-4993-a445-d20daa5174c4.binning_data.json,469133,6000,,0,2019-08-24 18:33:23.292,com.sec.android.app.shealth,2019-08-24 18:30:01.801,,2.2024045,587.71,124.659996,2138,NCYwqyvfDX,com.sec.android.app.shealth,0,5b1d9cb0-0afc-4993-a445-d20daa5174c4.achievement.json,5b1d9cb0-0afc-4993-a445-d20daa5174c4,1566604800000,
,4902,b623b28f-095c-4133-aafa-3e000eb3595e.binning_data.json,2872229,6000,,27,2019-12-10 18:30:01.075,com.sec.android.app.shealth,2019-12-10 18:30:01.075,,2.8055553,3800.8896,199.69995,4875,NCYwqyvfDX,com.sec.android.app.shealth,0,b623b28f-095c-4133-aafa-3e000eb3595e.achievement.json,b623b28f-095c-4133-aafa-3e000eb3595e,1575936000000,
,1152,2605a18b-4426-4044-a498-3c5718c5b598.binning_data.json,272593,6000,,0,2019-07-24 17:47:22.905,com.sec.android.app.shealth,2019-07-23 19:13:34.279,2605a18b-4426-4044-a498-3c5718c5b598.source_info.json,1.327544,361.88,46.909996,1152,VfS0qUERdZ,com.sec.android.app.shealth,0,2605a18b-4426-4044-a498-3c5718c5b598.achievement.json,2605a18b-4426-4044-a498-3c5718c5b598,1563926400000,
,4491,f4fb7e00-143e-4e4e-a359-30f18bcc4d44.binning_data.json,2734378,6000,,0,2019-10-16 18:30:00.830,com.sec.android.app.shealth,2019-10-16 18:30:00.830,,2.6388888,3336.3901,266.65997,4491,NCYwqyvfDX,com.sec.android.app.shealth,0,f4fb7e00-143e-4e4e-a359-30f18bcc4d44.achievement.json,f4fb7e00-143e-4e4e-a359-30f18bcc4d44,1571184000000,
,2297,368ca15a-22c0-4a5d-a62c-a95e37f34f5f.binning_data.json,1370439,6000,,0,2020-04-05 17:18:37.938,com.sec.android.app.shealth,2020-04-04 18:48:01.848,368ca15a-22c0-4a5d-a62c-a95e37f34f5f.source_info.json,1.2841648,1759.87,93.479996,2297,VfS0qUERdZ,com.sec.android.app.shealth,0,368ca15a-22c0-4a5d-a62c-a95e37f34f5f.achievement.json,368ca15a-22c0-4a5d-a62c-a95e37f34f5f,1586044800000,
,3187,a0b2221b-7020-4108-8d0e-90efb7353648.binning_data.json,1950705,6000,,3,2020-06-08 18:30:02.045,com.sec.android.app.shealth,2020-06-08 18:30:02.045,,2.7777774,2367.6199,188.59999,3184,NCYwqyvfDX,com.sec.android.app.shealth,0,a0b2221b-7020-4108-8d0e-90efb7353648.achievement.json,a0b2221b-7020-4108-8d0e-90efb7353648,1591574400000,
,1419,359cf4b4-2b2c-40a9-862f-64d48bb0872c.binning_data.json,343539,6000,,0,2019-07-21 18:23:53.619,com.sec.android.app.shealth,2019-07-20 19:16:25.028,359cf4b4-2b2c-40a9-862f-64d48bb0872c.source_info.json,1.3321047,457.63,57.659996,1419,VfS0qUERdZ,com.sec.android.app.shealth,0,359cf4b4-2b2c-40a9-862f-64d48bb0872c.achievement.json,359cf4b4-2b2c-40a9-862f-64d48bb0872c,1563667200000,
,5721,fbc5262c-c9fd-4464-8225-68752c98a766.binning_data.json,1562314,6000,,39,2019-09-20 17:56:36.342,com.sec.android.app.shealth,2019-09-19 19:05:30.358,fbc5262c-c9fd-4464-8225-68752c98a766.source_info.json,1.2228459,1910.47,343.67996,5682,VfS0qUERdZ,com.sec.android.app.shealth,0,fbc5262c-c9fd-4464-8225-68752c98a766.achievement.json,fbc5262c-c9fd-4464-8225-68752c98a766,1568937600000,
,4565,5ac56aad-765c-4872-96a4-f822aec4d518.binning_data.json,1135912,6000,,4,2019-06-21 18:30:00.526,com.sec.android.app.shealth,2019-06-21 18:30:00.526,,2.2099476,1409.37,186.55998,4561,NCYwqyvfDX,com.sec.android.app.shealth,0,5ac56aad-765c-4872-96a4-f822aec4d518.achievement.json,5ac56aad-765c-4872-96a4-f822aec4d518,1561075200000,
,1552,bac132b2-04a9-4072-ac39-7a1871cb007c.binning_data.json,358219,6000,,53,2019-07-08 16:50:32.925,com.sec.android.app.shealth,2019-07-07 19:59:47.478,bac132b2-04a9-4072-ac39-7a1871cb007c.source_info.json,1.350347,483.72003,60.379997,1499,VfS0qUERdZ,com.sec.android.app.shealth,0,bac132b2-04a9-4072-ac39-7a1871cb007c.achievement.json,bac132b2-04a9-4072-ac39-7a1871cb007c,1562544000000,
,1995,71f8b8ae-4714-4e7b-8738-17ddb13775a0.binning_data.json,1151131,6000,,0,2020-06-15 18:30:01.949,com.sec.android.app.shealth,2020-06-15 18:30:01.949,,1.6969873,1535.01,88.619995,1995,NCYwqyvfDX,com.sec.android.app.shealth,0,71f8b8ae-4714-4e7b-8738-17ddb13775a0.achievement.json,71f8b8ae-4714-4e7b-8738-17ddb13775a0,1592179200000,
,7258,10fc4fd5-668c-4af5-94bc-2a835bea7784.binning_data.json,2139370,6000,,0,2019-09-17 16:13:33.027,com.sec.android.app.shealth,2019-09-17 01:44:11.911,10fc4fd5-668c-4af5-94bc-2a835bea7784.source_info.json,1.2023067,2572.1802,433.66992,7258,VfS0qUERdZ,com.sec.android.app.shealth,0,10fc4fd5-668c-4af5-94bc-2a835bea7784.achievement.json,10fc4fd5-668c-4af5-94bc-2a835bea7784,1568678400000,
,2860,38214115-cf33-4103-9b44-5775e65e856f.binning_data.json,1676185,6000,,10,2019-12-23 18:30:01.385,com.sec.android.app.shealth,2019-12-23 18:30:01.385,,2.991845,2211.3699,123.91999,2850,NCYwqyvfDX,com.sec.android.app.shealth,0,38214115-cf33-4103-9b44-5775e65e856f.achievement.json,38214115-cf33-4103-9b44-5775e65e856f,1577059200000,
