com.samsung.health.floors_climbed,6307003,7
start_time,custom,update_time,create_time,client_data_id,client_data_ver,floor,raw_data,time_offset,deviceuuid,pkg_name,end_time,datauuid
2025-03-03 17:10:25.000,,2025-03-03 17:13:29.412,2025-03-03 17:13:29.327,,,2.0,d6582cbf-99bd-49eb-a33d-ce6534428984.raw_data.json,UTC-0500,dWuXRdP6N2,com.sec.android.app.shealth,2025-03-03 17:12:09.000,d6582cbf-99bd-49eb-a33d-ce6534428984,
2025-03-04 05:00:00.282,,2025-03-04 16:34:26.936,2025-03-04 16:34:26.852,,,3.0,f5e0dd1f-e7d3-45e7-b823-943756afec4a.raw_data.json,UTC-0500,dWuXRdP6N2,com.sec.android.app.shealth,2025-03-04 16:34:07.000,f5e0dd1f-e7d3-45e7-b823-943756afec4a,
2025-03-04 16:34:07.000,,2025-03-04 18:22:08.484,2025-03-04 18:22:08.484,,,1.0,b39f5399-7d6b-43d5-8572-afdeed42a1d6.raw_data.json,UTC-0500,dWuXRdP6N2,com.sec.android.app.shealth,2025-03-04 18:20:58.000,b39f5399-7d6b-43d5-8572-afdeed42a1d6,
2025-03-04 18:20:58.000,,2025-03-04 18:24:00.727,2025-03-04 18:24:00.727,,,1.0,9cf36210-2690-48a8-b759-4dc92153123a.raw_data.json,UTC-0500,dWuXRdP6N2,com.sec.android.app.shealth,2025-03-04 18:23:30.000,9cf36210-2690-48a8-b759-4dc92153123a,
2025-03-04 18:23:30.000,,2025-03-04 18:28:22.687,2025-03-04 18:28:22.687,,,1.0,82dc930c-597f-40d4-80b8-f3a2ead9cdcc.raw_data.json,UTC-0500,dWuXRdP6N2,com.sec.android.app.shealth,2025-03-04 18:25:47.000,82dc930c-597f-40d4-80b8-f3a2ead9cdcc,
2025-03-04 18:25:47.000,,2025-03-04 23:30:43.157,2025-03-04 23:30:43.157,,,1.0,d6a2dd81-658c-491d-ac43-cfe2c6e3ec60.raw_data.json,UTC-0500,dWuXRdP6N2,com.sec.android.app.shealth,2025-03-04 23:28:49.000,d6a2dd81-658c-491d-ac43-cfe2c6e3ec60,
2025-03-05 15:33:26.079,,2025-03-05 17:08:12.782,2025-03-05 17:08:12.782,,,1.0,cb8a9295-593b-4ac0-8fbc-9328819b9d67.raw_data.json,UTC-0500,dWuXRdP6N2,com.sec.android.app.shealth,2025-03-05 17:05:56.000,cb8a9295-593b-4ac0-8fbc-9328819b9d67,
2025-03-05 17:05:56.000,,2025-03-05 17:09:01.843,2025-03-05 17:09:01.843,,,1.0,02cf7bc2-d89d-4ccf-8781-2b5f27cc6a23.raw_data.json,UTC-0500,dWuXRdP6N2,com.sec.android.app.shealth,2025-03-05 17:08:18.000,02cf7bc2-d89d-4ccf-8781-2b5f27cc6a23,
2025-03-05 17:08:18.000,,2025-03-05 17:15:15.068,2025-03-05 17:15:15.068,,,1.0,c29ab642-ef24-4001-8bd4-a60785d5e4b5.raw_data.json,UTC-0500,dWuXRdP6N2,com.sec.android.app.shealth,2025-03-05 17:13:55.000,c29ab642-ef24-4001-8bd4-a60785d5e4b5,
2025-03-05 17:13:55.000,,2025-03-05 18:42:23.095,2025-03-05 18:42:23.095,,,1.0,48b828e5-acb0-4793-b091-3ab85e11b77f.raw_data.json,UTC-0500,dWuXRdP6N2,com.sec.android.app.shealth,2025-03-05 18:41:48.000,48b828e5-acb0-4793-b091-3ab85e11b77f,
2025-03-05 18:41:48.000,,2025-03-05 18:44:37.717,2025-03-05 18:44:37.717,,,1.0,4ae59c5a-3685-4c3b-98bd-1ac15b998e17.raw_data.json,UTC-0500,dWuXRdP6N2,com.sec.android.app.shealth,2025-03-05 18:43:41.000,4ae59c5a-3685-4c3b-98bd-1ac15b998e17,
2025-03-05 18:43:39.247,,2025-03-05 18:57:43.522,2025-03-05 18:57:43.522,,,1.0,d497a732-e18c-4829-a598-247aa8535eb4.raw_data.json,UTC-0500,dWuXRdP6N2,com.sec.android.app.shealth,2025-03-05 18:56:17.000,d497a732-e18c-4829-a598-247aa8535eb4,
2025-03-05 18:56:17.000,,2025-03-05 20:03:15.936,2025-03-05 20:03:15.936,,,1.0,48616157-6c95-4746-82ab-c96c9a52f0d9.raw_data.json,UTC-0500,dWuXRdP6N2,com.sec.android.app.shealth,2025-03-05 20:01:03.999,48616157-6c95-4746-82ab-c96c9a52f0d9,
2025-03-05 20:01:03.999,,2025-03-05 20:03:15.968,2025-03-05 20:03:15.968,,,1.0,9c1153b0-7f95-4f17-834a-352283901f2f.raw_data.json,UTC-0500,dWuXRdP6N2,com.sec.android.app.shealth,2025-03-05 20:02:28.999,9c1153b0-7f95-4f17-834a-352283901f2f,
2025-03-05 20:02:28.999,,2025-03-05 20:05:40.801,2025-03-05 20:04:14.454,,,4.0,6c824204-6e9a-4c68-8405-9ab62188b3bc.raw_data.json,UTC-0500,dWuXRdP6N2,com.sec.android.app.shealth,2025-03-05 20:04:47.000,6c824204-6e9a-4c68-8405-9ab62188b3bc,
2025-03-06 05:00:00.000,,2025-03-06 16:31:54.574,2025-03-06 16:31:17.734,,,2.0,84eff17b-4366-49f9-97be-b63ee070c130.raw_data.json,UTC-0500,dWuXRdP6N2,com.sec.android.app.shealth,2025-03-06 16:31:41.999,84eff17b-4366-49f9-97be-b63ee070c130,
2025-03-06 16:31:42.000,,2025-03-06 18:19:26.085,2025-03-06 18:19:26.085,,,1.0,55b29614-8331-4139-acde-649a9c14ad7d.raw_data.json,UTC-0500,dWuXRdP6N2,com.sec.android.app.shealth,2025-03-06 18:17:23.000,55b29614-8331-4139-acde-649a9c14ad7d,
2025-03-06 18:17:23.000,,2025-03-06 18:20:45.163,2025-03-06 18:20:45.163,,,1.0,e849bfcd-b2fb-4b16-9bf4-79bd9b46141b.raw_data.json,UTC-0500,dWuXRdP6N2,com.sec.android.app.shealth,2025-03-06 18:19:38.000,e849bfcd-b2fb-4b16-9bf4-79bd9b46141b,
2025-03-06 18:19:37.999,,2025-03-06 22:52:55.040,2025-03-06 22:52:55.040,,,1.0,a22cd2a3-1ff4-47a0-ba75-6a452c5a6874.raw_data.json,UTC-0500,dWuXRdP6N2,com.sec.android.app.shealth,2025-03-06 22:51:36.999,a22cd2a3-1ff4-47a0-ba75-6a452c5a6874,
2025-03-06 22:51:37.000,,2025-03-06 23:37:10.374,2025-03-06 23:37:10.374,,,1.0,372f7964-5101-4cad-9b4a-e8cfd39b1090.raw_data.json,UTC-0500,dWuXRdP6N2,com.sec.android.app.shealth,2025-03-06 23:37:03.000,372f7964-5101-4cad-9b4a-e8cfd39b1090,
2025-03-06 23:37:02.999,,2025-03-06 23:45:53.163,2025-03-06 23:45:53.163,,,1.0,8f4c1c51-2703-4fef-98d7-1aba37dbcd96.raw_data.json,UTC-0500,dWuXRdP6N2,com.sec.android.app.shealth,2025-03-06 23:43:24.000,8f4c1c51-2703-4fef-98d7-1aba37dbcd96,
2025-03-07 05:00:00.000,,2025-03-07 17:33:24.115,2025-03-07 17:33:24.084,,,2.0,dc7ac208-9920-4fd7-ba58-5711f9c9e757.raw_data.json,UTC-0500,dWuXRdP6N2,com.sec.android.app.shealth,2025-03-07 17:32:32.000,dc7ac208-9920-4fd7-ba58-5711f9c9e757,
2025-03-07 17:32:32.000,,2025-03-07 20:19:55.904,2025-03-07 20:19:55.837,,,2.0,3e4639f7-ee52-4b93-8679-62da98797dfe.raw_data.json,UTC-0500,dWuXRdP6N2,com.sec.android.app.shealth,2025-03-07 20:18:29.000,3e4639f7-ee52-4b93-8679-62da98797dfe,
2025-03-07 20:18:29.000,,2025-03-07 22:06:55.910,2025-03-07 22:06:55.910,,,1.0,80ac9682-8d1f-4147-aff5-da299877cb0d.raw_data.json,UTC-0500,dWuXRdP6N2,com.sec.android.app.shealth,2025-03-07 22:06:45.000,80ac9682-8d1f-4147-aff5-da299877cb0d,
2025-03-07 22:06:45.000,,2025-03-07 22:51:20.306,2025-03-07 22:51:20.306,,,1.0,77c8ae3e-e713-457b-8af0-dd35686d17ba.raw_data.json,UTC-0500,dWuXRdP6N2,com.sec.android.app.shealth,2025-03-07 22:51:07.000,77c8ae3e-e713-457b-8af0-dd35686d17ba,
2025-03-07 22:51:05.821,,2025-03-08 02:46:14.335,2025-03-08 02:46:14.335,,,1.0,9c09a453-0403-427e-a4a4-117d4029e3da.raw_data.json,UTC-0500,dWuXRdP6N2,com.sec.android.app.shealth,2025-03-08 02:41:25.000,9c09a453-0403-427e-a4a4-117d4029e3da,
