com.samsung.health.water_intake,6307003,6
start_time,amount,custom,update_time,create_time,client_data_id,client_data_ver,time_offset,deviceuuid,unit_amount,comment,pkg_name,datauuid
2020-07-28 13:19:58.641,250.0,,2020-07-28 13:19:59.010,2020-07-28 13:19:59.010,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,70befa39-51c7-4268-b007-de9fa4cb9e6e,
2020-07-08 14:59:42.992,250.0,,2020-07-08 14:59:43.351,2020-07-08 14:59:43.351,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,b470307b-932b-45ff-8e61-c53e0a66bf48,
2020-07-09 03:39:43.196,250.0,,2020-07-09 03:39:43.557,2020-07-09 03:39:43.557,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,98517abd-e8b6-4b03-9cdf-db98b80d02f9,
2020-07-14 18:24:13.861,250.0,,2020-07-14 18:24:14.219,2020-07-14 18:24:14.219,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,7b34fd56-a260-48c2-9ba6-34f3d58812ca,
2020-07-19 06:32:38.627,250.0,,2020-07-19 06:32:38.755,2020-07-19 06:32:38.755,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,c0084782-1c49-42ec-a543-7b8f95e7a295,
2020-07-13 13:31:52.624,250.0,,2020-07-13 13:31:52.987,2020-07-13 13:31:52.987,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,42fb281e-e866-4d07-b2a9-d074789bebf2,
2020-07-15 07:40:25.314,250.0,,2020-07-15 07:40:25.676,2020-07-15 07:40:25.676,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,34b644bf-b1ba-48bd-9013-b3f927d05d5c,
2020-07-08 04:19:42.053,250.0,,2020-07-08 04:19:42.426,2020-07-08 04:19:42.426,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,b9457991-c267-4810-81be-97edcd28359a,
2020-07-09 12:12:55.331,250.0,,2020-07-09 12:12:55.702,2020-07-09 12:12:55.702,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,349229eb-86bd-4263-b9b9-a337a94a9cf5,
2020-07-17 04:28:04.678,250.0,,2020-07-17 04:28:04.860,2020-07-17 04:28:04.860,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,43bcc955-28c8-4516-8928-fdc3f30b8030,
2020-07-14 18:24:16.302,250.0,,2020-07-14 18:24:16.659,2020-07-14 18:24:16.659,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,1c339c65-1889-4463-be65-933b92ae5d5a,
2020-07-27 13:36:22.370,250.0,,2020-07-27 13:36:22.741,2020-07-27 13:36:22.741,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,fca6a80d-6bdc-4499-9313-e1fa8056ef56,
2020-07-09 15:10:32.817,250.0,,2020-07-09 15:10:33.177,2020-07-09 15:10:33.177,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,b34fe1e4-fa39-4517-8b61-d05d0257e0e8,
2020-07-27 13:36:23.293,250.0,,2020-07-27 13:36:23.660,2020-07-27 13:36:23.660,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,d441709f-a946-403b-99d3-620151dfd83b,
2020-07-18 17:22:15.548,250.0,,2020-07-18 17:22:15.906,2020-07-18 17:22:15.906,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,83ee056f-fa3b-4f02-82dd-834388722f9b,
2020-07-08 12:40:02.016,250.0,,2020-07-08 12:40:02.373,2020-07-08 12:40:02.373,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,0b640ba2-5a59-4fd3-8f5a-c7530a3a5be7,
2020-07-10 05:04:33.007,250.0,,2020-07-10 05:04:33.363,2020-07-10 05:04:33.363,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,040d7b50-4c27-4720-a4a0-f14a3cdc5e91,
2020-07-06 04:51:05.498,250.0,,2020-07-06 04:51:05.862,2020-07-06 04:51:05.862,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,e4ba258e-bf8f-41ed-8499-f5659eaf1be2,
2020-07-15 15:50:42.548,250.0,,2020-07-15 15:50:42.906,2020-07-15 15:50:42.906,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,bdfd5d59-48b1-44d6-9dad-f629a7a46c19,
2020-07-06 17:33:47.245,250.0,,2020-07-06 17:33:47.601,2020-07-06 17:33:47.601,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,5b368a57-a786-40cf-93e6-fb57f1e0bee1,
2020-07-16 16:29:32.794,250.0,,2020-07-16 16:29:33.159,2020-07-16 16:29:33.159,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,87fe649f-0247-43bf-b079-4fd6d5050368,
2020-07-27 13:36:06.308,250.0,,2020-07-27 13:36:06.693,2020-07-27 13:36:06.693,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,8583fc69-6dd7-484b-bb32-715bba26e4e0,
2020-07-09 13:23:38.147,250.0,,2020-07-09 13:23:38.535,2020-07-09 13:23:38.535,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,99655e94-f762-41df-ba9b-dcb261c266bf,
2020-07-19 06:32:38.978,250.0,,2020-07-19 06:32:39.335,2020-07-19 06:32:39.335,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,92835214-5e80-4855-834f-28d99d363613,
2020-07-08 12:40:01.085,250.0,,2020-07-08 12:40:01.452,2020-07-08 12:40:01.452,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,9b18481f-2101-4cbb-b646-cbdea70a04d7,
2020-07-18 17:22:15.010,250.0,,2020-07-18 17:22:15.367,2020-07-18 17:22:15.367,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,6909856a-db11-46aa-9f64-c2edc2c6978c,
2020-07-20 15:51:22.446,250.0,,2020-07-20 15:51:22.802,2020-07-20 15:51:22.802,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,e133dba3-0a6f-48f2-9fdc-d780852a8e64,
2020-07-20 15:51:31.571,250.0,,2020-07-20 15:51:31.928,2020-07-20 15:51:31.928,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,0b3d6874-fbb8-4c85-afae-dd854eafefd8,
2020-07-28 17:19:37.804,250.0,,2020-07-28 17:19:38.174,2020-07-28 17:19:38.174,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,cd0ce2cc-cada-420b-b444-77e09ff3d4d9,
2020-07-06 04:51:52.678,250.0,,2020-07-06 04:51:53.046,2020-07-06 04:51:53.046,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,8369b7c4-6cdc-4b34-ba92-697e983395db,
2020-07-28 17:19:36.435,250.0,,2020-07-28 17:19:36.804,2020-07-28 17:19:36.804,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,9dcd6b1b-73df-4279-9952-69082b43d30b,
