com.samsung.shealth.tracker.floors_day_summary,6307003,1
create_sh_ver,binning_data,modify_sh_ver,update_time,create_time,floor_count,version_code,deviceuuid,pkg_name,datauuid,day_time
62950170,22a9d047-47da-4cfc-a821-c6d480265cbd.binning_data.json,62950170,2025-05-01 14:10:24.230,2025-04-29 18:12:25.495,5,2,ZYfDZ77fyr,com.sec.android.app.shealth,22a9d047-47da-4cfc-a821-c6d480265cbd,1745884800000,
62950170,e10110fd-e663-404c-9007-b89d8f4b3ad7.binning_data.json,62950170,2025-05-01 14:10:25.469,2025-04-30 14:34:07.033,3,2,ZYfDZ77fyr,com.sec.android.app.shealth,e10110fd-e663-404c-9007-b89d8f4b3ad7,1745971200000,
62950170,fea52552-b8a5-4416-bcba-25eb50c356d3.binning_data.json,62950170,2025-05-01 18:01:28.350,2025-05-01 14:10:23.659,1,2,ZYfDZ77fyr,com.sec.android.app.shealth,fea52552-b8a5-4416-bcba-25eb50c356d3,1746057600000,
62950170,6d992868-7a48-40e4-9733-00a755f48fda.binning_data.json,63010030,2025-06-23 21:06:30.478,2025-06-01 00:31:33.786,4,2,ZYfDZ77fyr,com.sec.android.app.shealth,6d992868-7a48-40e4-9733-00a755f48fda,1748304000000,
62950170,af34b80d-bf84-4a06-bac1-1ff1ec4f63d2.binning_data.json,63010030,2025-06-24 14:24:54.232,2025-06-01 00:31:34.131,3,2,ZYfDZ77fyr,com.sec.android.app.shealth,af34b80d-bf84-4a06-bac1-1ff1ec4f63d2,1748390400000,
62950170,55c5a614-6fbb-41d0-9115-f690834b3908.binning_data.json,63010030,2025-06-25 15:33:30.763,2025-06-02 00:30:47.935,1,2,ZYfDZ77fyr,com.sec.android.app.shealth,55c5a614-6fbb-41d0-9115-f690834b3908,1748736000000,
63010030,19bca894-9297-43e0-b6e6-3cacdbd24b1e.binning_data.json,63020270,2025-07-09 19:59:48.664,2025-06-15 15:22:11.238,2,2,ZYfDZ77fyr,com.sec.android.app.shealth,19bca894-9297-43e0-b6e6-3cacdbd24b1e,1749772800000,
63010030,46cb7102-67cf-4b3e-b9c9-409e7f12f989.binning_data.json,63010030,2025-06-25 15:33:30.601,2025-06-15 15:22:11.269,2,2,ZYfDZ77fyr,com.sec.android.app.shealth,46cb7102-67cf-4b3e-b9c9-409e7f12f989,1749340800000,
63010030,fe1590f3-ec8e-48f3-b56d-b592e3af68a6.binning_data.json,63020270,2025-07-09 19:59:48.951,2025-06-15 15:22:11.449,3,2,ZYfDZ77fyr,com.sec.android.app.shealth,fe1590f3-ec8e-48f3-b56d-b592e3af68a6,1749859200000,
63010030,c8b2fb74-acfa-4177-866e-2bbb79825841.binning_data.json,63010030,2025-06-25 15:33:30.911,2025-06-15 15:22:11.481,5,2,ZYfDZ77fyr,com.sec.android.app.shealth,c8b2fb74-acfa-4177-866e-2bbb79825841,1749427200000,
63010030,fd136701-d292-4897-a9a5-e45c0de07752.binning_data.json,63020270,2025-07-09 19:59:49.143,2025-06-15 15:22:11.512,4,2,ZYfDZ77fyr,com.sec.android.app.shealth,fd136701-d292-4897-a9a5-e45c0de07752,1749945600000,
63010030,2e2325d1-913e-4ccf-913d-96443ad6a075.binning_data.json,63020270,2025-07-09 19:59:48.763,2025-06-16 16:44:41.441,5,2,ZYfDZ77fyr,com.sec.android.app.shealth,2e2325d1-913e-4ccf-913d-96443ad6a075,1750032000000,
63010030,b0dc6307-9082-44f8-a8b4-80f227ac08a9.binning_data.json,63020270,2025-07-09 19:59:49.284,2025-06-17 12:42:24.858,4,2,ZYfDZ77fyr,com.sec.android.app.shealth,b0dc6307-9082-44f8-a8b4-80f227ac08a9,1750118400000,
63010030,5ef486e9-cf9a-45b7-ab06-d037cee8ab10.binning_data.json,63020310,2025-07-15 18:00:33.740,2025-06-18 20:55:14.454,7,2,ZYfDZ77fyr,com.sec.android.app.shealth,5ef486e9-cf9a-45b7-ab06-d037cee8ab10,1750204800000,
63010030,8c3e4d44-86eb-4117-a9ba-4c43c65d5e2e.binning_data.json,63020310,2025-07-17 01:28:08.342,2025-06-19 14:09:35.627,5,2,ZYfDZ77fyr,com.sec.android.app.shealth,8c3e4d44-86eb-4117-a9ba-4c43c65d5e2e,1750291200000,
63010030,6a71c570-25f4-43b1-ad00-74d777bd9fc4.binning_data.json,63020310,2025-07-17 13:52:21.095,2025-06-20 04:43:52.582,3,2,ZYfDZ77fyr,com.sec.android.app.shealth,6a71c570-25f4-43b1-ad00-74d777bd9fc4,1750377600000,
63010030,f4d18016-7c3d-400a-9800-170cc6fd32a8.binning_data.json,63020310,2025-07-17 13:52:20.761,2025-06-21 22:09:00.617,1,2,ZYfDZ77fyr,com.sec.android.app.shealth,f4d18016-7c3d-400a-9800-170cc6fd32a8,1750464000000,
63010030,ed6ed244-f77a-4209-9d09-908b57f64a58.binning_data.json,63020310,2025-07-17 13:52:21.253,2025-06-22 18:43:43.122,2,2,ZYfDZ77fyr,com.sec.android.app.shealth,ed6ed244-f77a-4209-9d09-908b57f64a58,1750550400000,
63010030,931ff74a-2c56-439d-b108-7ce18857a0e6.binning_data.json,63020310,2025-07-17 13:52:20.402,2025-06-23 12:10:40.358,6,2,ZYfDZ77fyr,com.sec.android.app.shealth,931ff74a-2c56-439d-b108-7ce18857a0e6,1750636800000,
63010030,6209aceb-4284-4b26-abb3-43134fec1b7d.binning_data.json,63020310,2025-07-17 13:52:20.910,2025-06-24 14:24:53.847,5,2,ZYfDZ77fyr,com.sec.android.app.shealth,6209aceb-4284-4b26-abb3-43134fec1b7d,1750723200000,
63010030,406f0bae-d512-4c72-832b-6c57e93994a0.binning_data.json,63020310,2025-07-17 13:52:21.057,2025-06-25 13:33:27.635,7,2,ZYfDZ77fyr,com.sec.android.app.shealth,406f0bae-d512-4c72-832b-6c57e93994a0,1750809600000,
63020270,f6c628e0-a0e2-46b1-aab2-3a977dd49b72.binning_data.json,63020310,2025-07-17 13:52:20.933,2025-07-09 19:59:47.639,1,2,ZYfDZ77fyr,com.sec.android.app.shealth,f6c628e0-a0e2-46b1-aab2-3a977dd49b72,1752019200000,
63020270,77779870-9116-4176-a2cd-3f1154ea3c59.binning_data.json,63020310,2025-07-17 13:52:20.371,2025-07-09 19:59:48.681,7,2,ZYfDZ77fyr,com.sec.android.app.shealth,77779870-9116-4176-a2cd-3f1154ea3c59,1751500800000,
